ga,gsom,l1,l2,l2_mul,ip1,ip1_mul,l_pi,learning_lag,test accuracy,test accuracy,test accuracy,test accuracy,test accuracy,test accuracy
,,,,,,,,,mean,std,sem,min,max,size
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,22.3728813559322,0.9673333000000002,0.006582969054056634,0.002081717597722306,0.955,0.976667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,22.881355932203387,0.9676667,0.007079795634997798,0.002238827957511114,0.958333,0.98,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,23.389830508474574,0.9681666000000002,0.008219555127188388,0.00259925155552303,0.953333,0.98,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,23.89830508474576,0.9668333,0.007003148324543412,0.0022145899497549243,0.953333,0.975,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,24.406779661016948,0.9653333,0.007965924345471602,0.0025190464600276263,0.95,0.975,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,24.915254237288135,0.9681666999999999,0.008441871686223812,0.0026695542243353526,0.95,0.976667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,25.423728813559322,0.9661666,0.008166745281254276,0.0025825516159195924,0.95,0.975,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,25.93220338983051,0.9690000000000001,0.008322081296833782,0.002631673177108256,0.951667,0.98,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,26.440677966101696,0.9705001000000001,0.007819357908421948,0.002472698083066367,0.955,0.98,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,26.94915254237288,0.9681667,0.0065473687174483885,0.0020704597828072333,0.951667,0.973333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,27.457627118644066,0.9668334999999999,0.009540294664095905,0.003016906068769407,0.946667,0.976667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,27.966101694915253,0.9681667,0.008368622321903739,0.0026463907414942625,0.953333,0.98,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,28.47457627118644,0.9670002,0.008881912541789643,0.0028087073610470734,0.946667,0.976667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,28.983050847457626,0.9655000000000001,0.007659715051270877,0.0024222145789889386,0.95,0.973333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,29.491525423728813,0.9670001000000001,0.008635380856942225,0.0027307471970954072,0.948333,0.976667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,30.0,0.9688333,0.008820887811829917,0.0027894096470201285,0.951667,0.98,10
