ga,gsom,l1,l2,l2_mul,ip1,ip1_mul,test accuracy
0.7000000000000001,0.2,0.9743494403440246,0.0002569019327560494,0.00026366508987303583,0.0005138038655120988,2.0,0.815
0.8,0.5,0.7025280792430622,2.2215888506313364e-05,3.1622776601683795e-05,4.443177701262673e-05,2.0,0.815
0.8,0.2,0.5065387033533724,0.00013355657274383796,0.00026366508987303583,0.0002671131454876759,2.0,0.815
0.8,0.7000000000000001,0.7025280792430622,0.0008425798241629602,0.0011993539462092342,0.0016851596483259204,2.0,0.815
0.8,0.2,0.36522591135626786,0.0014717184668317247,0.0040296113202004,0.0029434369336634493,2.0,0.815
0.8,0.5,0.36522591135626786,3.880407818249932e-05,0.00010624678308940411,7.760815636499865e-05,2.0,0.815
0.8,0.5,0.9743494403440246,3.081163468397472e-05,3.1622776601683795e-05,6.162326936794944e-05,2.0,0.815
0.8,0.30000000000000004,0.9743494403440246,4.1715138266189835e-05,4.281332398719396e-05,8.343027653237967e-05,2.0,0.815
0.8,0.1,0.9743494403440246,0.00034781340736016875,0.00035696988468260664,0.0006956268147203375,2.0,0.815
0.8,0.30000000000000004,0.5065387033533724,0.00018081906252333043,0.00035696988468260664,0.00036163812504666086,2.0,0.815
0.7000000000000001,0.7000000000000001,0.36522591135626786,2.8661467536753055e-05,7.847599703514623e-05,5.732293507350611e-05,2.0,0.815
0.8,0.7000000000000001,0.36522591135626786,2.1169932642049872e-05,5.7963939533849734e-05,4.2339865284099745e-05,2.0,0.815
0.8,0.4,0.7025280792430622,0.001140748753701815,0.0016237767391887213,0.00228149750740363,2.0,0.815
0.8,0.30000000000000004,0.36522591135626786,9.629732274171178e-05,0.00026366508987303583,0.00019259464548342355,2.0,0.815
0.7000000000000001,0.6,0.36522591135626786,3.880407818249932e-05,0.00010624678308940411,7.760815636499865e-05,2.0,0.815
0.8,0.7000000000000001,0.2633361783471868,2.066556915122057e-05,7.847599703514623e-05,4.133113830244114e-05,2.0,0.815
0.7000000000000001,0.6,0.36522591135626786,2.8661467536753055e-05,7.847599703514623e-05,5.732293507350611e-05,2.0,0.813333
0.8,0.5,0.36522591135626786,2.8661467536753055e-05,7.847599703514623e-05,5.732293507350611e-05,2.0,0.813333
0.8,0.4,0.9743494403440246,3.081163468397472e-05,3.1622776601683795e-05,6.162326936794944e-05,2.0,0.813333
0.8,0.30000000000000004,0.7025280792430622,7.464134844955332e-05,0.0001062467830894041,0.00014928269689910663,2.0,0.813333
0.8,0.6,0.5065387033533724,1.601816025625027e-05,3.1622776601683795e-05,3.203632051250054e-05,2.0,0.813333
0.8,0.30000000000000004,1.3513436116626072,0.0008842096830337835,0.0006543189129712968,0.001768419366067567,2.0,0.813333
0.7000000000000001,0.4,0.2633361783471868,5.12842741125534e-05,0.00019474830399087572,0.0001025685482251068,2.0,0.813333
0.7000000000000001,0.30000000000000004,1.3513436116626072,0.0011971104280047238,0.0008858667904100833,0.0023942208560094476,2.0,0.813333
0.8,0.1,0.7025280792430622,0.0004596774091421335,0.0006543189129712968,0.000919354818284267,2.0,0.813333
0.7000000000000001,0.4,0.5065387033533724,5.381810774157376e-05,0.0001062467830894041,0.00010763621548314752,2.0,0.813333
0.7000000000000001,0.30000000000000004,0.36522591135626786,0.0002389742213075844,0.0006543189129712968,0.0004779484426151688,2.0,0.813333
0.7000000000000001,0.4,1.3513436116626072,0.0008842096830337835,0.0006543189129712968,0.001768419366067567,2.0,0.813333
0.8,0.1,0.36522591135626786,0.002697631561478437,0.007386199822079357,0.005395263122956874,2.0,0.813333
0.7000000000000001,0.30000000000000004,0.5065387033533724,0.00013355657274383796,0.00026366508987303583,0.0002671131454876759,2.0,0.813333
0.7000000000000001,0.2,0.9743494403440246,0.00018975290100145772,0.00019474830399087572,0.00037950580200291545,2.0,0.813333
0.8,0.2,0.7025280792430622,0.00018523212915195323,0.00026366508987303583,0.00037046425830390646,2.0,0.813333
0.8,0.8,0.36522591135626786,1.1549457403965628e-05,3.1622776601683795e-05,2.3098914807931255e-05,2.0,0.813333
0.7000000000000001,0.7000000000000001,0.5065387033533724,2.168660561872106e-05,4.281332398719396e-05,4.337321123744212e-05,2.0,0.813333
0.8,0.2,0.5065387033533724,0.000244806621644344,0.0004832930238571752,0.000489613243288688,2.0,0.813333
0.8,0.2,0.5065387033533724,0.00044872581535813726,0.0008858667904100832,0.0008974516307162745,2.0,0.813333
0.8,0.5,0.7025280792430622,0.001140748753701815,0.0016237767391887213,0.00228149750740363,2.0,0.813333
0.8,0.1,0.9743494403440246,0.00047089628731741,0.0004832930238571752,0.00094179257463482,2.0,0.813333
0.7000000000000001,0.4,0.9743494403440246,4.1715138266189835e-05,4.281332398719396e-05,8.343027653237967e-05,2.0,0.813333
0.8,0.2,0.7025280792430622,0.0001368161519385539,0.0001947483039908757,0.0002736323038771078,2.0,0.813333
0.8,0.2,0.7025280792430622,0.00010105514371061292,0.0001438449888287663,0.00020211028742122585,2.0,0.813333
0.7000000000000001,0.7000000000000001,0.7025280792430622,2.2215888506313364e-05,3.1622776601683795e-05,4.443177701262673e-05,2.0,0.813333
0.8,0.7000000000000001,0.5065387033533724,1.601816025625027e-05,3.1622776601683795e-05,3.203632051250054e-05,2.0,0.811667
