ga,gsom,l1,l2,l2_mul,ip1,ip1_mul,l_pi,learning_lag,tau_0,tau_w,test accuracy,test accuracy,test accuracy,test accuracy,test accuracy,test accuracy
,,,,,,,,,,,mean,std,sem,min,max,size
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,7.5,30,0.5148333,0.1277618917179314,0.040401857600046595,0.33,0.66,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,8.0,30,0.442,0.13279695491488747,0.04199408438657361,0.315,0.651667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,8.5,30,0.4221667,0.10573970877799668,0.033437831886136915,0.315,0.616667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,9.0,30,0.4065001,0.08499977218590386,0.026879288070288533,0.315,0.56,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,9.5,30,0.42233350000000003,0.10382860877453552,0.032833489001407624,0.315,0.601667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,10.0,30,0.42516669999999995,0.09266753856550247,0.02930404870284802,0.315,0.563333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,10.5,30,0.4418333999999999,0.10858917982643475,0.03433891375011414,0.326667,0.625,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,11.0,30,0.47133340000000007,0.12041270204979766,0.03807783976925863,0.331667,0.623333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,11.5,30,0.4671668000000001,0.108866294594996,0.03442654513430654,0.331667,0.62,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,12.0,30,0.4605001000000001,0.11033632484509451,0.03489140951627236,0.331667,0.616667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,12.5,30,0.48766659999999995,0.12239159083150553,0.038703619347893896,0.326667,0.638333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,13.0,30,0.4861667000000002,0.10693261885572823,0.03381506317507694,0.315,0.615,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,13.5,30,0.5065000000000001,0.1167232592902261,0.03691113552755232,0.331667,0.695,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,14.0,30,0.4803333,0.10870943500609523,0.03437694177693013,0.331667,0.628333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,14.5,30,0.5126666,0.12210409655353718,0.03861270567462934,0.318333,0.633333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,15.0,30,0.5278334,0.12015955678384008,0.037997788207327125,0.358333,0.675,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,15.5,30,0.5228332000000001,0.11183120978291847,0.03536413364061266,0.343333,0.635,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,16.0,30,0.5504998999999999,0.08174440585745842,0.025849850848677795,0.393333,0.656667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,16.5,30,0.5573333,0.08899699218144645,0.028143320019756803,0.336667,0.645,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,17.0,30,0.5621666,0.05828865124761993,0.018432489968169423,0.443333,0.635,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,17.5,30,0.5308333000000001,0.09431117296369976,0.029823811536738378,0.375,0.641667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,18.0,30,0.5406667000000001,0.08988070323990568,0.02842277399357774,0.358333,0.641667,10
