run_id,ga,gsom,l1,l2,l2_mul,ip1,ip1_mul,l_pi,learning_lag,tau_0,tau_w,test accuracy
68,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,3.5,30,0.811667
71,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,4.0,30,0.81
77,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,4.0,30,0.805
70,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,4.0,30,0.803333
83,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,4.5,30,0.796667
80,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,4.5,30,0.788333
75,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,4.0,30,0.78
69,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,3.5,30,0.778333
73,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,4.0,30,0.775
72,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,4.0,30,0.77
89,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,4.5,30,0.763333
79,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,4.0,30,0.758333
85,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,4.5,30,0.758333
78,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,4.0,30,0.736667
82,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,4.5,30,0.726667
97,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,5.0,30,0.708333
99,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,5.0,30,0.696667
86,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,4.5,30,0.695
269,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,13.5,30,0.695
109,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,5.5,30,0.695
379,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,19.0,30,0.695
399,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,20.0,30,0.693333
389,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,19.5,30,0.693333
449,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,22.5,30,0.688333
419,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,21.0,30,0.688333
429,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,21.5,30,0.688333
439,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,22.0,30,0.686667
409,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,20.5,30,0.686667
489,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,24.5,30,0.685
479,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,24.0,30,0.685
469,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,23.5,30,0.685
459,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,23.0,30,0.683333
499,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,25.0,30,0.68
