run_id,ga,gsom,l1,l2,l2_mul,ip1,ip1_mul,l_pi,learning_lag,test accuracy
438,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,21.864406779661017,0.971667
586,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,29.491525423728813,0.971667
540,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,27.457627118644066,0.971667
481,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,24.406779661016948,0.971667
387,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,19.322033898305083,0.971667
541,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,27.457627118644066,0.971667
591,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,30.0,0.971667
584,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,29.491525423728813,0.971667
561,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,28.47457627118644,0.971667
506,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,25.423728813559322,0.97
570,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,28.983050847457626,0.97
576,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,28.983050847457626,0.97
448,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,22.3728813559322,0.97
490,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,24.915254237288135,0.97
471,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,23.89830508474576,0.97
504,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,25.423728813559322,0.97
450,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,22.881355932203387,0.968333
407,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,20.338983050847457,0.968333
594,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,30.0,0.968333
496,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,24.915254237288135,0.968333
536,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,26.94915254237288,0.968333
580,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,29.491525423728813,0.968333
588,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,29.491525423728813,0.968333
596,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,30.0,0.968333
574,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,28.983050847457626,0.968333
470,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,23.89830508474576,0.968333
404,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,20.338983050847457,0.966667
566,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,28.47457627118644,0.966667
498,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,24.915254237288135,0.966667
578,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,28.983050847457626,0.966667
563,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,28.47457627118644,0.965
491,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,24.915254237288135,0.965
526,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,26.440677966101696,0.965
502,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,25.423728813559322,0.965
598,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,30.0,0.965
556,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,27.966101694915253,0.965
516,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,25.93220338983051,0.965
546,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,27.457627118644066,0.965
430,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,21.864406779661017,0.965
428,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,21.35593220338983,0.965
550,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,27.966101694915253,0.965
560,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,28.47457627118644,0.965
486,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,24.406779661016948,0.965
460,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,23.389830508474574,0.965
476,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,23.89830508474576,0.963333
456,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,22.881355932203387,0.963333
542,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,27.457627118644066,0.963333
386,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,19.322033898305083,0.963333
440,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,22.3728813559322,0.963333
508,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,25.423728813559322,0.963333
466,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,23.389830508474574,0.963333
461,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,23.389830508474574,0.963333
