ga,gsom,l1,l2,l2_mul,ip1,ip1_mul,l_pi,learning_lag,test accuracy,test accuracy,test accuracy,test accuracy,test accuracy,test accuracy
,,,,,,,,,mean,std,sem,min,max,size
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.002549214654451423,20,0.9679999,0.010387589940244414,0.00328484436110247,0.95,0.983333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.0027004207188377725,20,0.9659998000000002,0.012402745617178603,0.003922092538995517,0.938333,0.983333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.00276338529005317,20,0.9670000999999999,0.013984300724979614,0.004422224177567951,0.938333,0.981667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.002827817979625341,20,0.9671666999999999,0.013357670846953683,0.004224066411120406,0.94,0.986667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.0029612254379880344,20,0.9673332,0.01533982793471511,0.004850879518877644,0.933333,0.986667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.003065395295056527,20,0.9683333000000001,0.011166473192851302,0.0035311488720622744,0.941667,0.978333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.0031732296347349765,20,0.9666665999999999,0.012397759656038216,0.003920515839642646,0.94,0.981667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.0034398264890229246,20,0.967,0.013917707881208939,0.004401165671349641,0.935,0.985,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.0034796979038876916,20,0.9695000000000003,0.012958871315734859,0.004097954926274515,0.945,0.983333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.00360210656235707,20,0.9670000999999999,0.013648956007695247,0.004316178866775567,0.931667,0.981667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.0037288213071828336,20,0.9690001,0.012074796731208346,0.003818385995417432,0.941667,0.981667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.0038157646612712484,20,0.9695,0.014845945537044406,0.004694700191587198,0.933333,0.983333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.00408894822629486,20,0.9695001000000001,0.013334555039445405,0.004216756550952388,0.938333,0.985,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.004331483223376399,20,0.9673333000000002,0.012624674060039037,0.003992272474696868,0.94,0.983333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.00438168993151419,20,0.9640000999999998,0.013268443025548285,0.0041958500964908284,0.943333,0.981667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.0050315489450380516,20,0.9684999999999999,0.012920669633489486,0.004085874493639976,0.94,0.983333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.005329994080844088,20,0.9690002000000002,0.012770508080034272,0.004038389241049216,0.941667,0.981667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.005517492376129123,20,0.9676666999999999,0.012277709404988084,0.003882552616943302,0.943333,0.986667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.005777790117970501,20,0.9688333,0.011942466505430658,0.00377653950374325,0.941667,0.985,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.005981040962380938,20,0.9669999,0.012615019464907708,0.00398921942364669,0.938333,0.985,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.006335804992658254,20,0.9661668000000001,0.011628303065270428,0.0036771923008972157,0.948333,0.986667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.006409244019356457,20,0.9678333,0.010972686068901574,0.003469868002772824,0.945,0.98,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.0074451229107951435,20,0.9650000000000001,0.012120831984645251,0.0038329436207698037,0.94,0.981667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.008451366330684721,20,0.9638334000000001,0.01461550166546921,0.004621827440886702,0.935,0.985,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.009056428379445295,20,0.9658334,0.013385315338501043,0.0042328083669251,0.945,0.985,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.009931091813749801,20,0.9653335000000002,0.014311417355462064,0.004525667538852371,0.943333,0.986667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.010162650893929951,20,0.9639998999999999,0.017288396882495134,0.005467071124163901,0.923333,0.983333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.010280447320933098,20,0.9668334,0.012384073806484038,0.003916187994012086,0.946667,0.986667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.010765446128423159,20,0.9648334000000001,0.012458703144567098,0.0039397878628734066,0.933333,0.978333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.011273325637104871,20,0.9663332,0.012639386806504607,0.003996925053643647,0.938333,0.983333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.011536181017364784,20,0.9623334,0.013314928040027527,0.004210549948772859,0.928333,0.971667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.011942000281335324,20,0.9633334,0.013240323747300626,0.004186957999948565,0.936667,0.978333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.012796968682159416,20,0.9603334,0.014778030910781092,0.004673223701044081,0.926667,0.983333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.01294529978227916,20,0.9624998999999999,0.015816410060791573,0.005001588019930359,0.923333,0.981667,10
