run_id,ga,gsom,l1,l2,l2_mul,ip1,ip1_mul,l_pi,learning_lag,tau_0,tau_w,test accuracy
573,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,28.983050847457626,3,30,0.968333
578,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,28.983050847457626,3,30,0.968333
470,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,23.89830508474576,3,30,0.968333
583,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,29.491525423728813,3,30,0.966667
418,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,20.847457627118644,3,30,0.966667
388,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,19.322033898305083,3,30,0.966667
563,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,28.47457627118644,3,30,0.966667
568,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,28.47457627118644,3,30,0.966667
553,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,27.966101694915253,3,30,0.966667
453,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,22.881355932203387,3,30,0.966667
370,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,18.813559322033896,3,30,0.966667
440,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,22.3728813559322,3,30,0.966667
570,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,28.983050847457626,3,30,0.966667
472,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,23.89830508474576,3,30,0.966667
482,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,24.406779661016948,3,30,0.966667
543,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,27.457627118644066,3,30,0.966667
530,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,26.94915254237288,3,30,0.966667
510,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,25.93220338983051,3,30,0.966667
590,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,30.0,3,30,0.966667
560,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,28.47457627118644,3,30,0.966667
466,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,23.389830508474574,3,30,0.966667
368,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,18.305084745762713,3,30,0.966667
400,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,20.338983050847457,3,30,0.966667
548,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,27.457627118644066,3,30,0.965
396,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,19.83050847457627,3,30,0.965
593,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,30.0,3,30,0.965
473,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,23.89830508474576,3,30,0.965
526,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,26.440677966101696,3,30,0.965
416,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,20.847457627118644,3,30,0.965
410,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,20.847457627118644,3,30,0.965
493,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,24.915254237288135,3,30,0.965
398,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,19.83050847457627,3,30,0.963333
586,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,29.491525423728813,3,30,0.963333
409,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,20.338983050847457,3,30,0.963333
486,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,24.406779661016948,3,30,0.963333
456,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,22.881355932203387,3,30,0.963333
566,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,28.47457627118644,3,30,0.963333
426,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,21.35593220338983,3,30,0.963333
462,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,23.389830508474574,3,30,0.963333
380,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,19.322033898305083,3,30,0.963333
596,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,30.0,3,30,0.963333
446,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,22.3728813559322,3,30,0.963333
460,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,23.389830508474574,3,30,0.963333
576,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,28.983050847457626,3,30,0.963333
516,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,25.93220338983051,3,30,0.963333
506,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,25.423728813559322,3,30,0.963333
536,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,26.94915254237288,3,30,0.961667
546,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,27.457627118644066,3,30,0.961667
556,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,27.966101694915253,3,30,0.961667
480,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,24.406779661016948,3,30,0.961667
432,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,21.864406779661017,3,30,0.961667
430,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,21.864406779661017,3,30,0.961667
350,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,17.796610169491526,3,30,0.961667
496,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,24.915254237288135,3,30,0.961667
357,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,17.796610169491526,3,30,0.961667
364,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,18.305084745762713,3,30,0.961667
412,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,20.847457627118644,3,30,0.961667
390,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,19.83050847457627,3,30,0.961667
452,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,22.881355932203387,3,30,0.961667
490,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,24.915254237288135,3,30,0.961667
360,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,18.305084745762713,3,30,0.961667
386,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,19.322033898305083,3,30,0.961667
354,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,17.796610169491526,3,30,0.96
436,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,21.864406779661017,3,30,0.96
361,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,18.305084745762713,3,30,0.96
433,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,21.864406779661017,3,30,0.96
367,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,18.305084745762713,3,30,0.96
483,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,24.406779661016948,3,30,0.96
401,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,20.338983050847457,3,30,0.96
442,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,22.3728813559322,3,30,0.96
347,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,17.28813559322034,3,30,0.96
500,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,25.423728813559322,3,30,0.96
378,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,18.813559322033896,3,30,0.96
411,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,20.847457627118644,3,30,0.96
340,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,17.28813559322034,3,30,0.96
371,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,18.813559322033896,3,30,0.958333
392,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,19.83050847457627,3,30,0.958333
579,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,28.983050847457626,3,30,0.958333
479,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,23.89830508474576,3,30,0.958333
358,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,17.796610169491526,3,30,0.958333
489,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,24.406779661016948,3,30,0.958333
406,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,20.338983050847457,3,30,0.958333
429,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,21.35593220338983,3,30,0.958333
413,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,20.847457627118644,3,30,0.958333
469,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,23.389830508474574,3,30,0.958333
