ga,gsom,l1,l2,l2_mul,ip1,ip1_mul,l_pi,learning_lag,tau_0,tau_w,test accuracy,test accuracy,test accuracy,test accuracy,test accuracy,test accuracy
,,,,,,,,,,,mean,std,sem,min,max,size
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,7.627118644067796,3,30,0.5986667,0.04020638853617944,0.012714376426401025,0.533333,0.666667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,8.135593220338983,3,30,0.6001666999999998,0.03673763821734994,0.01161746126220738,0.545,0.668333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,8.64406779661017,3,30,0.6103333,0.03791489527891526,0.011989742632813728,0.563333,0.685,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,9.152542372881356,3,30,0.6166667,0.047996855607772226,0.01517793842467855,0.561667,0.705,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,9.661016949152541,3,30,0.6398333,0.04644417982445883,0.014686939230372911,0.56,0.695,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,10.169491525423728,3,30,0.6479999,0.058640932277055594,0.018543891011117974,0.55,0.71,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,10.677966101694915,3,30,0.6601665999999999,0.06405283043307985,0.02025528347490817,0.583333,0.766667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,11.1864406779661,3,30,0.7454999999999999,0.03638830025037049,0.011506990897324603,0.695,0.805,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,11.694915254237287,3,30,0.7719997999999999,0.029718847576729584,0.009397924777784113,0.728333,0.808333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,12.203389830508474,3,30,0.7881666,0.03010730767401459,0.009520766646535235,0.74,0.831667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,12.711864406779661,3,30,0.805,0.031061611416308983,0.009822543987062499,0.748333,0.86,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,13.220338983050848,3,30,0.8258333999999999,0.03419502165910506,0.01081341530815618,0.771667,0.876667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,13.728813559322033,3,30,0.8436665999999999,0.03126736633616587,0.009887609405715815,0.79,0.878333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,14.23728813559322,3,30,0.8518333,0.027221646480737074,0.008608240453903602,0.81,0.883333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,14.745762711864407,3,30,0.8625002,0.028243294845561744,0.008931314033966863,0.826667,0.916667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15.254237288135592,3,30,0.8738333,0.027800580197982358,0.008791315369979902,0.846667,0.925,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15.762711864406779,3,30,0.8896666,0.028347529342470406,0.008964275876066179,0.853333,0.93,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,16.271186440677965,3,30,0.915,0.02818570034215528,0.008913101052819788,0.871667,0.953333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,16.779661016949152,3,30,0.9291666,0.019957559910971076,0.006311134585793586,0.898333,0.95,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,17.28813559322034,3,30,0.9434999,0.016262701780796158,0.005142717853539221,0.913333,0.96,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,17.796610169491526,3,30,0.9491666999999999,0.014535038554778201,0.004596382771146119,0.918333,0.961667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,18.305084745762713,3,30,0.9561669,0.007619388039731255,0.0024094620582196286,0.941667,0.966667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,18.813559322033896,3,30,0.9556666,0.011445133747094844,0.0036192690766077237,0.938333,0.97,10
