run_id,ga,gsom,l1,l2,l2_mul,ip1,ip1_mul,l_pi,learning_lag,test accuracy
582,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,29.491525423728813,0.68
532,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,26.94915254237288,0.678333
558,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,27.966101694915253,0.678333
561,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,28.47457627118644,0.678333
539,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,26.94915254237288,0.676667
537,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,26.94915254237288,0.676667
531,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,26.94915254237288,0.676667
542,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,27.457627118644066,0.675
541,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,27.457627118644066,0.673333
513,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,25.93220338983051,0.67
511,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,25.93220338983051,0.668333
522,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,26.440677966101696,0.666667
517,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,25.93220338983051,0.665
65,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,3.0508474576271185,0.663333
55,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,2.542372881355932,0.663333
501,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,25.423728813559322,0.663333
586,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,29.491525423728813,0.661667
85,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,4.067796610169491,0.661667
38,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,1.5254237288135593,0.66
45,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,2.0338983050847457,0.66
75,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,3.559322033898305,0.658333
11,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0.5084745762711864,0.658333
596,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,30.0,0.658333
31,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,1.5254237288135593,0.658333
28,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,1.0169491525423728,0.658333
21,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,1.0169491525423728,0.655
8,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0.0,0.655
58,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,2.542372881355932,0.653333
