ga,gsom,l1,l2,l2_mul,ip1,ip1_mul,l_pi,learning_lag,tau_0,tau_w,test accuracy,test accuracy,test accuracy,test accuracy,test accuracy,test accuracy
,,,,,,,,,,,mean,std,sem,min,max,size
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,28.0,0.6341667,0.05385887996122627,0.017031673290307622,0.57,0.736667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,29.0,0.6491666,0.055261738600550364,0.0174752961438585,0.568333,0.728333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,30.0,0.6355000000000001,0.04797140480652099,0.015169890174655533,0.571667,0.705,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,31.0,0.6411667,0.050613667822590816,0.016005447105456205,0.571667,0.71,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,32.0,0.6411666,0.054958329220520394,0.01737934967342307,0.57,0.721667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,33.0,0.6395,0.051723636453752976,0.016356450006037384,0.566667,0.711667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,34.0,0.6368332000000001,0.04921265068794133,0.01556240658681469,0.566667,0.706667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,35.0,0.6363333,0.050776665196284314,0.016056991400805912,0.57,0.713333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,36.0,0.6401665,0.048879040043878885,0.015456909638123384,0.568333,0.705,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,37.0,0.6416666,0.05311856293697036,0.016797564491582942,0.566667,0.708333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,38.0,0.6376666,0.05254149236386633,0.016615078753416196,0.566667,0.718333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,39.0,0.6363333,0.05130281295742405,0.016223373931905895,0.566667,0.71,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,40.0,0.6386665999999999,0.055681995450753904,0.017608193028751638,0.566667,0.713333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,41.0,0.6448332999999999,0.05552478581288422,0.01755847897617179,0.565,0.711667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,42.0,0.6436667,0.057675170428973306,0.01823849029939462,0.566667,0.726667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,43.0,0.6383333999999998,0.0531884652871279,0.01681966955561259,0.566667,0.701667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,44.0,0.6394999,0.05643787264958801,0.01784722238672201,0.558333,0.708333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,45.0,0.6418332,0.05337651076352679,0.01687913475652378,0.563333,0.71,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,46.0,0.6430001,0.0563050604050036,0.017805223467317402,0.566667,0.716667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,47.0,0.6443333000000001,0.05463794932309718,0.01727803665418422,0.565,0.708333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,48.0,0.6375,0.054024830825998724,0.017084151561543175,0.563333,0.708333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,49.0,0.6426665,0.05519436587843201,0.01745399101845254,0.565,0.708333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,50.0,0.6353332,0.05583167250226344,0.017655525068374485,0.558333,0.713333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,51.0,0.6431665000000001,0.0544584783507378,0.017221282949530146,0.558333,0.713333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,52.0,0.643,0.05524241638451386,0.017469185922646784,0.556667,0.71,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,53.0,0.6376666999999999,0.05719371501417109,0.018086240729135002,0.556667,0.711667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,54.0,0.6431668,0.06175645455388989,0.019529105660696974,0.565,0.726667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,55.0,0.6431667999999999,0.05605030192365899,0.017724661761887955,0.566667,0.716667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,56.0,0.6371667,0.05140648311481079,0.016256157314178916,0.563333,0.715,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,57.0,0.6431666,0.05648358419969867,0.017861677648094675,0.563333,0.718333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,58.0,0.6389999,0.054309414412952214,0.017174144793490536,0.565,0.72,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,59.0,0.6335001,0.05067735109154343,0.01602558552332974,0.56,0.716667,10
