run_id,ga,gsom,l1,l2,l2_mul,ip1,ip1_mul,l_pi,learning_lag,tau_0,test accuracy
281,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,14.5,0.58
32,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,2.0,0.58
91,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,5.0,0.58
14,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,1.0,0.58
13,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,1.0,0.578333
17,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,1.0,0.576667
43,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,2.5,0.576667
33,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,2.0,0.573333
211,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,11.0,0.573333
52,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3.0,0.571667
37,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,2.0,0.571667
42,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,2.5,0.571667
53,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3.0,0.571667
18,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,1.0,0.571667
160,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,8.5,0.571667
76,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,4.0,0.57
73,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,4.0,0.568333
83,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,4.5,0.568333
141,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,7.5,0.568333
2,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,0.5,0.566667
98,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,5.0,0.566667
108,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,5.5,0.566667
23,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,1.5,0.566667
46,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,2.5,0.566667
6,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,0.5,0.565
201,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,10.5,0.565
125,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,6.5,0.565
200,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,10.5,0.563333
131,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,7.0,0.563333
36,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,2.0,0.563333
96,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,5.0,0.561667
150,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,8.0,0.558333
26,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,1.5,0.558333
106,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,5.5,0.555
72,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,4.0,0.555
