ga,gsom,l1,l2,l2_mul,ip1,ip1_mul,l_pi,learning_lag,tau_0,tau_w,test accuracy,test accuracy,test accuracy,test accuracy,test accuracy,test accuracy
,,,,,,,,,,,mean,std,sem,min,max,size
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,10.169491525423728,3,30,0.6134999999999999,0.04621118591615858,0.014613260087255591,0.563333,0.705,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,10.677966101694915,3,30,0.622,0.051889070902369334,0.01640876497214556,0.558333,0.701667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,11.1864406779661,3,30,0.6455002000000001,0.06473135863071143,0.020469852931024636,0.566667,0.75,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,11.694915254237287,3,30,0.7045001,0.05835730290670097,0.01845419952895397,0.601667,0.771667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,12.203389830508474,3,30,0.7495,0.033619427805957704,0.010631396549842367,0.681667,0.788333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,12.711864406779661,3,30,0.7660001999999999,0.027579314131347666,0.008721344896032681,0.725,0.801667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,13.220338983050848,3,30,0.7899999,0.02681671212944144,0.008480188968609907,0.75,0.821667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,13.728813559322033,3,30,0.8025,0.026483754630590647,0.008374898562569767,0.758333,0.84,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,14.23728813559322,3,30,0.825,0.03398435733294559,0.010746797398915327,0.776667,0.876667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,14.745762711864407,3,30,0.8453332,0.03205698591155031,0.010137309040042801,0.791667,0.885,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15.254237288135592,3,30,0.8583333000000002,0.023609516287811657,0.007465984592432829,0.828333,0.89,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15.762711864406779,3,30,0.8670002,0.023010971082893926,0.007276707979421604,0.836667,0.911667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,16.271186440677965,3,30,0.8700000999999998,0.017033079655318993,0.005386332727788377,0.841667,0.901667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,16.779661016949152,3,30,0.8830001,0.016345084965959805,0.0051687697041408725,0.865,0.916667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,17.28813559322034,3,30,0.9,0.02829529036586992,0.0089477564611968,0.868333,0.946667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,17.796610169491526,3,30,0.9191666,0.02976501592361962,0.00941252449098184,0.873333,0.958333,10
