run_id,ga,gsom,l1,l2,l2_mul,ip1,ip1_mul,test accuracy
5451,0.8595959595959596,0.26161616161616164,0.39508265218793426,7.045944399371791e-05,0.0001783410220710008,0.00014091888798743583,2.0,0.821667
2198,0.8757575757575757,0.1808080808080808,1.8595343612788886,0.0010072515435355749,0.0005416686911033152,0.0020145030870711497,2.0,0.82
1868,0.8757575757575757,0.6979797979797979,1.4680494482899427,2.393056191197959e-05,1.630092360979741e-05,4.786112382395918e-05,2.0,0.82
3817,0.8838383838383839,0.2535353535353535,2.6841256157222064,9.404752724034313e-05,3.5038422452906755e-05,0.00018809505448068626,2.0,0.818333
5390,0.8838383838383839,0.5282828282828282,1.6216884776040033,0.0001632940776319017,0.00010069386314760271,0.0003265881552638034,2.0,0.818333
2593,0.9,0.17272727272727273,1.0823276963974657,0.0002922740135923675,0.00027004207188377727,0.000584548027184735,2.0,0.818333
4796,0.7707070707070707,0.8919191919191919,2.1322640498043013,0.00014780251551353555,6.9317172761554e-05,0.0002956050310270711,2.0,0.818333
1475,0.8353535353535353,0.5363636363636364,2.172431041625192,0.0001281494570610654,5.898896425508494e-05,0.0002562989141221308,2.0,0.816667
422,0.8838383838383839,0.22121212121212122,1.6216884776040033,0.00010734658968360838,6.619433458774387e-05,0.00021469317936721676,2.0,0.816667
2834,0.7303030303030302,0.47171717171717176,1.7150724711063807,0.00016491701256207445,9.615746001432097e-05,0.0003298340251241489,2.0,0.815
1343,0.8515151515151514,0.4636363636363636,1.029782242546987,6.331902041263292e-05,6.148777653810029e-05,0.00012663804082526585,2.0,0.815
24,0.6575757575757576,0.706060606060606,1.9063862394495747,8.84866108158221e-05,4.641588833612782e-05,0.0001769732216316442,2.0,0.815
1774,0.7545454545454545,0.4232323232323232,2.6509375286951538,0.00010327378255108886,3.895745615775501e-05,0.0002065475651021777,2.0,0.815
217,0.803030303030303,0.8515151515151514,1.802585401177745,3.7863274656048704e-05,2.1004982416539152e-05,7.572654931209741e-05,2.0,0.815
5819,0.6656565656565656,0.4555555555555556,2.1322640498043013,0.00012348202629574022,5.791122647641758e-05,0.00024696405259148045,2.0,0.813333
464,0.8919191919191919,0.4636363636363636,0.570277962670063,2.8234576897302062e-05,4.951020159556351e-05,5.6469153794604125e-05,2.0,0.813333
5345,0.8757575757575757,0.8434343434343434,0.29309453456484436,7.33510134242928e-06,2.5026400964179218e-05,1.467020268485856e-05,2.0,0.813333
3744,0.7787878787878788,0.8353535353535353,2.821085249363766,0.00012855082519067635,4.556786265841068e-05,0.0002571016503813527,2.0,0.813333
1257,0.6898989898989899,0.7383838383838384,1.8480024224314713,8.153558299169925e-05,4.41209286319119e-05,0.0001630711659833985,2.0,0.813333
799,0.8838383838383839,0.3343434343434344,0.71342244693556,9.604525166963127e-05,0.00013462605792989097,0.00019209050333926253,2.0,0.813333
2391,0.8595959595959596,0.4232323232323232,0.29309453456484436,7.085836114007999e-05,0.00024175940791691308,0.00014171672228015998,2.0,0.811667
706,0.7464646464646464,0.4636363636363636,1.3207245955111127,1.9363257987132814e-05,1.466108684046983e-05,3.872651597426563e-05,2.0,0.811667
204,0.6737373737373737,0.794949494949495,2.491051903741392,5.066302123709945e-05,2.03380030584698e-05,0.0001013260424741989,2.0,0.811667
144,0.8757575757575757,0.3181818181818182,2.340809438156775,0.0001987444404360074,8.490415204088756e-05,0.0003974888808720148,2.0,0.811667
1458,0.8434343434343434,0.5686868686868687,0.5597338534102974,4.517399311016372e-05,8.070620141149508e-05,9.034798622032744e-05,2.0,0.811667
4986,0.8434343434343434,0.35050505050505054,0.8231618191942719,1.2406903275478907e-05,1.5072253093107555e-05,2.4813806550957814e-05,2.0,0.811667
